batting_team,bowling_team,venue,season,target,over,runs_scored,wickets_lost,runs_needed,balls_left,crr,rrr,result
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,6,38,1,131,76,6.33,10.34,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,7,40,1,129,70,5.71,11.06,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,8,43,1,126,64,5.38,11.81,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,9,58,1,111,58,6.44,11.48,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,10,67,1,102,52,6.7,11.77,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,11,73,3,96,46,6.64,12.52,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,12,80,3,89,40,6.67,13.35,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,13,95,3,74,32,7.31,13.88,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,14,101,5,68,26,7.21,15.69,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,15,109,5,60,19,7.27,18.95,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,16,114,6,55,13,7.12,25.38,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,17,136,6,33,7,8.0,28.29,0
Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,2009,169,18,142,8,27,1,7.89,162.0,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,1,14,0,140,108,14.0,7.78,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,2,25,0,129,101,12.5,7.66,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,3,39,0,115,95,13.0,7.26,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,4,44,0,110,89,11.0,7.42,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,5,52,0,102,82,10.4,7.46,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,6,56,0,98,76,9.33,7.74,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,7,60,0,94,70,8.57,8.06,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,8,64,1,90,64,8.0,8.44,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,9,76,1,78,58,8.44,8.07,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,10,88,1,66,52,8.8,7.62,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,11,91,1,63,46,8.27,8.22,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,12,95,2,59,40,7.92,8.85,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,13,101,2,53,34,7.77,9.35,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,14,111,2,43,27,7.93,9.56,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,15,118,3,36,21,7.87,10.29,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,16,121,5,33,15,7.56,13.2,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,17,128,5,26,9,7.53,17.33,0
Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2011,154,18,145,6,9,3,8.06,18.0,0
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,1,19,0,119,108,19.0,6.61,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,2,21,0,117,101,10.5,6.95,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,3,27,0,111,95,9.0,7.01,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,4,29,0,109,89,7.25,7.35,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,5,31,1,107,82,6.2,7.83,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,6,38,1,100,76,6.33,7.89,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,7,46,1,92,70,6.57,7.89,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,8,56,1,82,64,7.0,7.69,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,9,60,1,78,58,6.67,8.07,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,10,67,1,71,52,6.7,8.19,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,11,77,1,61,46,7.0,7.96,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,12,83,2,55,40,6.92,8.25,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,13,84,2,54,34,6.46,9.53,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,14,93,2,45,28,6.64,9.64,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,15,106,2,32,22,7.07,8.73,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,16,108,2,30,16,6.75,11.25,1
Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,138,17,123,2,15,9,7.24,10.0,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,1,11,1,151,107,11.0,8.47,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,2,22,1,140,99,11.0,8.48,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,3,31,1,131,92,10.33,8.54,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,4,44,1,118,86,11.0,8.23,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,5,48,2,114,80,9.6,8.55,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,6,59,2,103,74,9.83,8.35,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,7,65,2,97,68,9.29,8.56,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,8,80,2,82,60,10.0,8.2,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,9,85,3,77,54,9.44,8.56,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,10,86,3,76,48,8.6,9.5,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,11,91,3,71,41,8.27,10.39,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,12,100,3,62,35,8.33,10.63,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,13,103,3,59,29,7.92,12.21,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,14,118,3,44,22,8.43,12.0,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,15,123,3,39,16,8.2,14.62,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,16,129,3,33,10,8.06,19.8,1
Royal Challengers Bangalore,Kochi Tuskers Kerala,Nehru Stadium,2011,162,17,149,4,13,4,8.76,19.5,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,1,6,1,90,107,6.0,5.05,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,2,13,1,83,101,6.5,4.93,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,3,19,1,77,94,6.33,4.91,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,4,22,1,74,87,5.5,5.1,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,5,31,1,65,81,6.2,4.81,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,6,34,2,62,75,5.67,4.96,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,7,42,2,54,69,6.0,4.7,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,8,44,2,52,63,5.5,4.95,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,9,48,2,48,57,5.33,5.05,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,10,51,2,45,51,5.1,5.29,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,11,66,2,30,44,6.0,4.09,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,12,69,2,27,38,5.75,4.26,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,13,77,2,19,31,5.92,3.68,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,14,85,2,11,25,6.07,2.64,1
Mumbai Indians,Delhi Capitals,Feroz Shah Kotla,2011,96,15,90,2,6,19,6.0,1.89,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,1,6,1,107,107,6.0,6.0,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,2,17,1,96,101,8.5,5.7,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,3,27,1,86,95,9.0,5.43,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,4,32,1,81,89,8.0,5.46,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,5,44,1,69,83,8.8,4.99,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,6,54,1,59,77,9.0,4.6,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,7,60,2,53,71,8.57,4.48,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,8,71,3,42,65,8.88,3.88,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,9,74,3,39,58,8.22,4.03,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,10,80,3,33,52,8.0,3.81,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,11,93,3,20,46,8.45,2.61,1
Pune Warriors,Punjab Kings,Dr DY Patil Sports Academy,2011,113,12,108,3,5,40,9.0,0.75,1
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,1,8,0,156,107,8.0,8.75,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,2,14,1,150,101,7.0,8.91,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,3,17,2,147,95,5.67,9.28,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,4,23,2,141,89,5.75,9.51,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,5,30,2,134,83,6.0,9.69,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,6,39,2,125,77,6.5,9.74,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,7,47,2,117,71,6.71,9.89,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,8,53,3,111,65,6.62,10.25,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,9,62,3,102,59,6.89,10.37,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,10,69,3,95,52,6.9,10.96,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,11,80,3,84,46,7.27,10.96,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,12,84,4,80,40,7.0,12.0,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,13,88,5,76,34,6.77,13.41,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,14,101,5,63,28,7.21,13.5,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,15,113,5,51,22,7.53,13.91,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,16,127,6,37,16,7.94,13.88,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,17,135,7,29,9,7.94,19.33,0
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,2011,164,18,144,7,20,3,8.0,40.0,0
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,1,13,0,139,106,13.0,7.87,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,2,26,1,126,100,13.0,7.56,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,3,41,1,111,93,13.67,7.16,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,4,43,1,109,87,10.75,7.52,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,5,57,1,95,81,11.4,7.04,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,6,59,1,93,75,9.83,7.44,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,7,66,2,86,69,9.43,7.48,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,8,74,2,78,63,9.25,7.43,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,9,86,2,66,57,9.56,6.95,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,10,92,3,60,51,9.2,7.06,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,11,98,3,54,45,8.91,7.2,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,12,109,3,43,39,9.08,6.62,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,13,117,3,35,33,9.0,6.36,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,14,121,3,31,27,8.64,6.89,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,15,124,4,28,21,8.27,8.0,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,16,136,4,16,15,8.5,6.4,1
Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium,2011,152,17,141,4,11,9,8.29,7.33,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,1,11,0,130,107,11.0,7.29,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,2,26,0,115,101,13.0,6.83,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,3,33,0,108,95,11.0,6.82,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,4,33,1,108,89,8.25,7.28,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,5,40,1,101,83,8.0,7.3,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,6,45,1,96,77,7.5,7.48,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,7,62,1,79,70,8.86,6.77,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,8,66,1,75,64,8.25,7.03,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,9,78,1,63,58,8.67,6.52,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,10,81,1,60,52,8.1,6.92,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,11,89,1,52,46,8.09,6.78,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,12,99,1,42,40,8.25,6.3,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,13,108,1,33,34,8.31,5.82,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,14,116,1,25,28,8.29,5.36,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,15,122,1,19,22,8.13,5.18,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,16,131,1,10,16,8.19,3.75,1
Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,2011,141,17,138,1,3,10,8.12,1.8,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,1,15,0,174,108,15.0,9.67,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,2,25,0,164,101,12.5,9.74,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,3,38,0,151,95,12.67,9.54,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,4,49,0,140,89,12.25,9.44,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,5,65,1,124,83,13.0,8.96,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,6,72,1,117,77,12.0,9.12,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,7,77,1,112,71,11.0,9.46,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,8,86,1,103,65,10.75,9.51,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,9,99,1,90,59,11.0,9.15,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,10,110,2,79,53,11.0,8.94,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,11,119,2,70,47,10.82,8.94,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,12,131,2,58,41,10.92,8.49,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,13,136,3,53,35,10.46,9.09,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,14,138,4,51,29,9.86,10.55,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,15,151,4,38,23,10.07,9.91,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,16,168,4,21,17,10.5,7.41,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,17,176,4,13,11,10.35,7.09,1
Punjab Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",2011,189,18,187,4,2,5,10.39,2.4,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,1,20,0,129,105,20.0,7.37,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,2,27,0,122,99,13.5,7.39,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,3,31,1,118,92,10.33,7.7,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,4,37,1,112,86,9.25,7.81,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,5,44,1,105,80,8.8,7.88,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,6,51,1,98,74,8.5,7.95,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,7,55,2,94,68,7.86,8.29,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,8,59,2,90,61,7.38,8.85,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,9,61,3,88,55,6.78,9.6,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,10,71,3,78,49,7.1,9.55,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,11,83,4,66,42,7.55,9.43,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,12,92,4,57,36,7.67,9.5,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,13,106,4,43,30,8.15,8.6,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,14,115,5,34,23,8.21,8.87,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,15,119,6,30,16,7.93,11.25,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,16,124,6,25,8,7.75,18.75,1
Pune Warriors,Kochi Tuskers Kerala,Dr DY Patil Sports Academy,2011,149,17,135,6,14,2,7.94,42.0,1
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,1,8,1,168,108,8.0,9.33,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,2,16,2,160,101,8.0,9.5,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,3,22,2,154,95,7.33,9.73,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,4,27,3,149,89,6.75,10.04,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,5,28,3,148,83,5.6,10.7,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,6,31,4,145,77,5.17,11.3,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,7,39,4,137,71,5.57,11.58,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,8,45,4,131,65,5.62,12.09,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,9,53,4,123,59,5.89,12.51,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,10,56,4,120,53,5.6,13.58,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,11,63,5,113,46,5.73,14.74,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,12,73,5,103,40,6.08,15.45,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,13,83,5,93,34,6.38,16.41,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,14,92,5,84,28,6.57,18.0,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,15,108,5,68,22,7.2,18.55,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,16,118,7,58,16,7.38,21.75,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,17,132,8,44,10,7.76,26.4,0
Royal Challengers Bangalore,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",2011,176,18,137,8,39,3,7.61,78.0,0
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,1,12,1,148,106,12.0,8.38,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,2,23,1,137,100,11.5,8.22,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,3,31,1,129,94,10.33,8.23,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,4,44,1,116,88,11.0,7.91,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,5,62,1,98,82,12.4,7.17,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,6,67,1,93,76,11.17,7.34,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,7,76,1,84,70,10.86,7.2,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,8,84,1,76,64,10.5,7.12,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,9,90,1,70,58,10.0,7.24,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,10,96,1,64,52,9.6,7.38,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,11,102,1,58,46,9.27,7.57,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,12,108,1,52,40,9.0,7.8,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,13,118,1,42,34,9.08,7.41,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,14,130,1,30,27,9.29,6.67,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,15,140,1,20,21,9.33,5.71,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,16,150,1,10,15,9.38,4.0,1
Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,2011,160,17,157,1,3,9,9.24,2.0,1
Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,2011,183,1,8,0,175,108,8.0,9.72,1
Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,2011,183,2,25,0,158,102,12.5,9.29,1
Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,2011,183,3,30,0,153,96,10.0,9.56,1
Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,2011,183,4,32,0,151,90,8.0,10.07,1
Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,2011,183,5,50,0,133,82,10.0,9.73,1
Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,2011,183,6,57,0,126,76,9.5,9.95,1
Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,2011,183,7,62,0,121,70,8.86,10.37,1
Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,2011,183,8,74,0,109,63,9.25,10.38,1
Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,2011,183,9,84,0,99,57,9.33,10.42,1
Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,2011,183,10,95,0,88,51,9.5,10.35,1
