batting_team,bowling_team,venue,season,target,over,runs_scored,wickets_lost,runs_needed,balls_left,crr,rrr,result
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,2,22,1,105,98,11.0,6.43,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,3,32,1,95,92,10.67,6.2,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,4,44,1,83,86,11.0,5.79,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,5,52,1,75,80,10.4,5.62,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,6,55,1,72,74,9.17,5.84,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,7,63,1,64,68,9.0,5.65,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,8,67,2,60,62,8.38,5.81,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,9,81,2,46,56,9.0,4.93,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,10,81,3,46,50,8.1,5.52,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,11,93,3,34,43,8.45,4.74,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,12,99,3,28,37,8.25,4.54,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,13,103,3,24,30,7.92,4.8,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,14,109,4,18,24,7.79,4.5,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,15,110,4,17,18,7.33,5.67,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,16,117,4,10,12,7.31,5.0,1
Punjab Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,2007,127,17,120,4,7,6,7.06,7.0,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,1,4,0,141,108,4.0,7.83,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,2,15,0,130,102,7.5,7.65,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,3,24,0,121,95,8.0,7.64,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,4,30,1,115,89,7.5,7.75,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,5,50,1,95,83,10.0,6.87,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,6,58,1,87,77,9.67,6.78,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,7,71,1,74,69,10.14,6.43,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,8,77,1,68,63,9.62,6.48,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,9,78,2,67,57,8.67,7.05,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,10,88,2,57,51,8.8,6.71,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,11,94,2,51,45,8.55,6.8,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,12,101,2,44,39,8.42,6.77,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,13,112,2,33,33,8.62,6.0,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,14,115,2,30,27,8.21,6.67,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,15,125,2,20,21,8.33,5.71,1
Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",2007,145,16,127,3,18,14,7.94,7.71,1
Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2007,104,1,6,0,98,105,6.0,5.6,1
Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2007,104,2,8,0,96,99,4.0,5.82,1
Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2007,104,3,21,0,83,93,7.0,5.35,1
Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2007,104,4,29,0,75,87,7.25,5.17,1
Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2007,104,5,34,0,70,81,6.8,5.19,1
Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,2007,104,6,41,0,63,75,6.83,5.04,1
